date,text,likes,retweets
2025-08-25 11:12:24+00:00,@ActiveIndex 私もAIに対する期待値はRPAと同程度かそれ以上です！えらくなれますか？,0,0
2025-08-25 11:12:24+00:00,"RT @yachimat_manga: AIアニメコント：関西弁翻訳機
nano-banana
Vidu Q1
Gemini 2.5 Pro TTS

会話劇だと動きも少ないので僕はViduがおすすめ！今やnano-bananaでアングルグリグリ動かせるので、カット数も多くなっ…",0,13
2025-08-25 11:12:24+00:00,【LIVE】党員サポーターイベント、教育AIサミット、などなど https://t.co/EpCn6nT8dh @YouTubeより,0,0
2025-08-25 11:12:24+00:00,"#夏の友の会25
Hiro@AIお絵描きの人 8枚目

『涼風の中の夏雫』 https://t.co/eZffdgbYyF",0,0
2025-08-25 11:12:24+00:00,RT @davidicke: Why is ANYONE asking 'Grok' anything? It's the AI control system pulling you in step by step and when I see the 'alternative…,0,89
2025-08-25 11:12:24+00:00,"RT @gigazine: 一見無害な画像の中に文字列を埋め込んでAIを攻撃する恐るべき手法が発見される
https://t.co/IGs9G7VT8C",0,57
2025-08-25 11:12:24+00:00,@Jerryblaze22 I reached my DM limit. Get my ChatGPT &amp; AI Passive Income Guide for free here: https://t.co/BwekDL23tJ,0,0
2025-08-25 11:12:24+00:00,RT @do0nlyone: ตอน ai บอกตุวเองเป็น superstar kid มานแอบฮ้อบบบบ 5555555555555555555 https://t.co/ZaS8J9Mr9y,0,6035
2025-08-25 11:12:24+00:00,"图表：https://t.co/dCCyBHBV5V

工具：https://t.co/4CJbrKPP49

TG 机器人：https://t.co/wgddlT7Vb6

频道：https://t.co/Eh4n9gRSvv",0,0
2025-08-25 11:12:24+00:00,"@OlayanjuAyobami @OpenledgerHQ OpenLedger sounds like a game changer making AI transparent, fair, and rewarding for the whole community. Excited to see it in action.",0,0
2025-08-25 11:12:24+00:00,RT @maiscquica: j’ai jamais capté l intérêt de dire à quelqu’un qu’il est moche (bien sûr des fois c’est mérité) mais genre quelqu’un trkl…,0,12
2025-08-25 11:12:24+00:00,"thank u po for purchasing chatgpt pro!🥰

#daniellegitt
 
 PREMIUM ACCOUNT FOR SALE!

t. wtb wts lfb lfs gizmo solo share gizmo ai loklok netflix dazzcam flashcards study tips buddy books quizlet chatgpt educational education ph premium account fast fix drop bini tool memorizing https://t.co/9EfabJeIru",0,0
2025-08-25 11:12:24+00:00,"RT @bluwhaleai: Your portfolio moves with the market.
Now your Bluwhale profile paces it with AI, too. 🌀

Introducing Daily Outlook 🪐
A liv…",0,197
2025-08-25 11:12:24+00:00,"RT @socioagent: 🤝 Meet Socio, AI social agent powered by Zoro-AI

Socio is an open-source AI agent for social media management. It lets you…",0,639
2025-08-25 11:12:24+00:00,"@Ririri_103022 さん
いいね、リプありがとうございます！

今後の企画見逃さないようにアカウントフォローしておいてくださいね。
@aipan_ai

今回の企画は、
↓こちらからLINE追加後、
https://t.co/qUrQsLRYVt

「爆笑」と送ってね。

※すでにLINEを追加されている方は、 https://t.co/YXV3Q6wBmc",0,0
2025-08-25 11:12:24+00:00,RT @Areliannn: J’ai trouvé sa mère sur Facebook j’lui envoie ? Sayez 2025 on affiche plus rien à foutre https://t.co/Ps2dAJbTRB,0,359
2025-08-25 11:12:24+00:00,"RT @iGAM3_ai: Smart Edge, Real AI. Sleek Design

Only on @peaq

Join the movement to earn rewards &amp; boost airdrop SS2 with special discount…",0,25
2025-08-25 11:12:24+00:00,RT @linabombordira: https://t.co/ZxX9JHaXLB,0,139
2025-08-25 11:12:24+00:00,RT @a_birdday: บางคนเข้าใจว่ากรมทำ จริงๆกรมไม่ได้ทำ ต้นทางเค้าทำมีมแซวคาแรคเตอร์กรมอุตุเฉยๆ นี่สงสัยขอบการวีนเรื่องai มาก คือคนปกติทั่วไปอย…,0,2744
2025-08-25 11:12:24+00:00,« 250 songs » pourquoi je l’ai écrit en anglais ?????????????????????,0,0
